Row Labels,General,Occupations,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11,,Compensation and Benefits Managers,3.75,4,3.38,3.25,3.88,1,1,1,3.12,3.88,3,3.12,2,3.62,2.88,3.5,3.12,1,3,1.88,3.25,1.5,1.62,4,1,1.12,3.25,3.5,4,3.25,3.25,1.62,3.62,1,3.75
11,,Compliance Managers,3.75,3.88,3.25,3.75,4,1,1.12,1,3.38,3.5,3.25,1.88,1.88,2.62,2.12,3.75,3.12,1.5,1.75,2,3.62,1.75,2.12,4,1,1.38,3,3.5,3.88,3.25,3.12,1.75,3.12,1.25,3.88
11,,Computer and Information Systems Managers,3.38,4,3.75,3.75,4.12,1.38,1.88,1,3.12,3.88,3.25,3,2.75,3.62,3.12,3.88,3,2,3.12,2.88,3.12,2.75,2.75,4,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75
11,,Construction Managers,3.62,3.88,3.75,4,3.75,1,1,1,3,3.75,3,3.25,3.12,4,3.25,3.88,3.62,1.88,3,2.88,3,1.5,3.12,3.75,1,1.88,3,3.38,3.88,3.12,3.12,1.62,3.88,2,3.25
11,,"Education Administrators, Kindergarten through Secondary",3.88,4.38,4,4,4.25,1,1.12,1,3.88,4.12,4.25,3.38,3.12,4,3.12,4,3.62,1.12,2.25,1.75,3.38,1.75,2.88,4.25,1,1.75,3.88,4.25,4.38,3.38,3.88,1.75,3.88,1.62,4.12
11,,"Education Administrators, Postsecondary",3.88,4,3.88,3.62,4.12,1,1,1,4,3.88,3.75,3.12,2.88,3.75,2.88,4,3.62,1,1.62,2,3.62,1.38,1.38,4.12,1,1.5,3.5,3.75,4,3.25,3.25,1.62,4,1,4
11,,"Education and Childcare Administrators, Preschool and Daycare",3.5,4,3.88,4,4,1,1,1,3.88,3.88,3.62,3.12,3.12,3.75,2.88,4,3.62,1.5,1.88,1.75,3.38,1.5,2,4,1,1.5,3.88,3.88,4,3.12,3.12,1.62,3.75,1.88,3.75
11,,Emergency Management Directors,3.75,4,4.25,4,4,1,1,1,3.75,4.12,3.62,2.62,2.75,3.5,3,4,3.62,1.88,2.75,2.25,3.75,1.62,2.12,4,1,2.12,4.12,3.75,4.12,3.75,3.38,1.62,3.75,1.88,4
11,,"Farmers, Ranchers, and Other Agricultural Managers",3.29,3.58,3.42,3.5,3.88,2.13,2.21,1.08,3.21,3.75,3.04,2.88,2.83,3.5,2.71,3.79,3.25,2.87,2.37,3.13,3.25,1.63,2.96,3.46,2.08,2.88,2.87,3.33,3.87,3.08,3.16,1.75,3.63,2.38,3.17
11,,Financial Managers,3.5,4,3.62,3.62,4,1,1.25,1,2.88,3.62,3,3.12,2.38,3.62,3.5,3.75,3.12,1.12,1.75,1.88,3.38,1.88,1.88,4,1,1.25,3.62,3.62,4,3,3,1.62,3.62,1.25,3.75
11,,Fitness and Wellness Coordinators,3.38,3.75,3.12,3.75,3.62,1.5,1.88,1,3.38,3.25,3.38,2.75,2.88,3.5,2.12,3.38,3,1.62,2,1.75,3,1.38,2.25,3.62,1.12,1.75,3.75,3.75,3.88,3.12,3.12,2,3.12,1.75,3.5
11,,Food Service Managers,3.38,3.75,3.25,3.62,3.62,1.75,1.75,1,3.25,3.12,3,3,3,3.75,2.88,3.75,3.12,2.12,2.5,2.5,3.12,1.5,2.62,3.62,1.62,1.62,3.88,3.62,3.75,2.75,2.75,1.38,3.5,1.88,3
11,,Funeral Home Managers,2.75,3.75,3,3.5,3.12,1,1,1,3,3.12,2.88,2.5,2.38,3.38,2.38,3.62,3.38,1.88,1.38,2.12,3.38,1.5,2,3.62,1,1.25,4,3.75,3.75,2.5,2.5,1.62,3.62,1.75,3.38
11,,Gambling Managers,3.62,3.75,3.5,4,4,1,1,1,3.62,3.75,3.25,2.88,2.62,4,3,3.88,3.38,1.12,2.12,1.88,3.62,1.62,2.75,3.5,1,1.62,3.75,3.88,4,3.12,3,1.38,3.75,1.62,3.62
11,,General and Operations Managers,3.5,4,3.5,4,3.88,1,1,1,3.12,3.5,3,3.12,3.25,3.5,2.38,4,3.62,2,2.75,2.75,3.38,1.5,2.38,3.88,1,1.88,3.25,4,4,3,3,1.88,3.75,2,3.25
11,,Geothermal Production Managers,3.5,3.62,3.62,3.75,4,2.5,2.25,1,3.25,3.75,3.25,3.25,3.12,3.62,3.25,3.88,3,2.88,2,3.25,3,1.88,3.12,3.88,2.75,2.38,2.88,3.5,3.88,3.25,3.25,2,3.62,2.88,3.62
11,,Human Resources Managers,3.75,4.12,3.88,3.88,3.75,1,1,1,3.38,4,3.25,2.88,2.38,4.12,2.62,3.62,3.88,1.25,2.25,1.75,3.62,1.75,1.62,4,1,1.62,3.38,3.88,4.12,3.62,3.75,1.75,3.62,1,3.88
11,,Hydroelectric Production Managers,3.62,4.12,3.62,3.5,3.75,2.75,2.12,1.25,3.38,3.88,3.62,3,3,3.75,3.25,3.88,3.25,3.25,2.12,3.38,3.38,2.12,3.25,3.88,2.38,3.25,3.38,3.25,4.12,3.38,3.38,1.88,3.75,2.75,3.5
11,,Industrial Production Managers,3.62,3.88,3.62,4,4,2,2.12,1,3.12,4,3.75,3.38,3.25,3.88,3.38,4,3.25,2.75,2.88,3.12,3.12,1.62,3.12,3.88,2.12,1.62,3,3.5,4,3.75,3.38,1.62,3.88,2.25,3.38
11,,Investment Fund Managers,3.75,4,3.75,3.12,4,1,1,1,3,3.88,2.88,2.75,2.25,2.88,3.38,3.5,3,1,2,1.88,3.12,1.75,1.5,4,1,1,2.88,3,3.88,3.38,3.25,1.88,3.25,1,3.62
11,,Lodging Managers,3.75,4.12,3.75,3.88,3.75,1.38,1.38,1,3.75,3.75,3.38,2.88,3,4,2.62,3.75,3.88,2.12,1.75,2.38,3.75,1.62,2.62,3.88,1.38,1,4.12,4,4,3.12,3.38,1.88,3.75,1.88,3.88
11,,Loss Prevention Managers,3.75,4,3.88,3.62,3.88,1,1,1,3.88,3.88,3.25,2.25,2.25,3.62,2.75,3.88,3.5,2,2.25,2.62,3.75,1.62,2.5,4,1,1,3.62,3.62,4,3.75,3.75,1.75,3.88,2,3.75
11,,Marketing Managers,3.88,3.88,3.62,3.5,3.88,1,1,1,3,3.75,3.12,2.88,2.62,3.38,2.75,3.75,3.62,1,3.38,1.75,3.75,1.88,1.88,3.88,1,1.75,3.12,3.88,3.88,3.25,3.5,1.75,3.5,1,3.25
11,,Medical and Health Services Managers,3.88,4,4,3.88,4.12,1,1,1,3.88,4,3.25,3.25,3.25,4,2.75,4,3.88,1,3.62,2,3.88,2,2.12,4,1,2.5,3.75,4,4.12,3.62,3.75,2,4,1.62,4
11,,Natural Sciences Managers,3.5,4,3.88,3.38,4,1,1.12,1,3.25,3.75,3.5,2.62,2.75,3.62,3.12,4,3.12,2,3.25,2.12,3.25,1.88,2.12,4,1,4.12,3,3.38,3.88,3.25,3.12,2.62,3.12,1.88,3.88
11,,Postmasters and Mail Superintendents,3.25,4,3.12,4,3.75,1,1,1,3.25,3.25,3.38,2.75,2.75,3.88,2.75,3.75,3.62,1.62,2.5,2.5,3.25,1.75,2.25,4,1,1.5,3.38,4,4,3,2.88,1.88,4,2,3.25
11,,"Property, Real Estate, and Community Association Managers",3,3.75,3.12,3.62,3.5,1,1.12,1,2.75,3.12,2.75,3,2.88,3.12,3,3.12,3.5,1.5,2.12,1.75,3.25,1.5,2,3.88,1,1.38,3,3.25,4,2.12,2.12,1.25,3,1.62,3.62
11,,Purchasing Managers,3.38,3.88,3.25,3.62,3.88,1,1,1,3.25,3.75,3.12,3.25,3.25,3.62,3,3.5,3.75,1,2.75,2,3.75,1.88,2.12,3.75,1,1.25,3.5,4,3.88,3.25,3.12,1.88,3.75,1.62,3.75
11,,Quality Control Systems Managers,3.62,3.88,3.75,3.75,3.75,1.88,2,1,3.25,4,3.12,2.75,2.75,3.25,3.12,3.88,3,2.88,2.75,3.25,3.25,1.88,4,4,1.75,2.25,3,3.25,3.88,3.62,3.75,2.12,3.5,2.75,3.88
11,,Regulatory Affairs Managers,3.38,3.88,3.5,3.88,3.88,1,1,1,3.12,3.75,3,2,1.88,3.25,2.5,3.88,3.12,1.12,3,1.62,3.12,1.75,1.38,4,1,2.5,2.88,3.25,4,3.62,3.5,1.75,3.5,1,4
11,,Sales Managers,3.75,4,3.75,3.88,3.88,1,1,1,3.62,3.75,3.25,3,2.88,3.75,3,3.75,3.88,1.75,2.62,1.75,4.12,1.62,1.75,3.88,1,1.62,3.88,3.88,4,3.62,3.62,1.75,3.5,1,3.62
11,,Social and Community Service Managers,3.88,3.88,3.88,3.88,3.88,1,1,1,3.5,3.88,3.62,2.62,2.38,3.88,2.62,3.88,3.25,2,2.62,2.12,3.25,1.75,2,3.75,1,2.25,4,4,3.75,3.75,3.75,1.88,3.88,1.5,3.75
11,,Spa Managers,3.5,3.75,3.38,4,3.88,1,1.38,1,3.5,3.75,3.38,3.12,3,3.88,2.75,4,3.25,2,1.62,2.62,3.75,1.5,2.5,3.38,1,1.12,3.88,3.88,4,3.38,3.25,1.88,3.75,2,3.12
11,,Supply Chain Managers,3.75,4,3.88,4,3.88,1,1,1,3.12,4,3,2.88,3.75,3.25,3,4,3.75,1,2.5,2.25,3.62,1.62,2,4,1,1.12,3.12,3.75,4,3.75,3.88,2.12,4,1.62,3.88
11,,Training and Development Managers,3.88,4,3.62,4,3.88,1,1,1,4.12,3.88,4.38,3.62,3,3.62,3,3.88,3.12,1,2.75,1.62,3.75,1.75,2.38,4,1,1.88,3.62,3.88,4,3.38,3.38,1.75,3.75,1.25,3.88
11,,"Transportation, Storage, and Distribution Managers",3.29,3.84,3.71,3.84,3.92,1,1.13,1,3.12,3.54,3.08,3.04,3,3.58,3.08,3.88,3.46,2.04,2.83,2.42,3.42,1.46,2.29,3.87,1.04,1.42,3.04,3.29,3.92,3.25,3.29,1.62,3.54,1.79,3.62
11,,Treasurers and Controllers,3.62,3.88,4.12,3.38,4.12,1,1,1,2.88,4.12,3,4,2.75,3.12,3.75,3.88,3.12,1.12,2.62,1.88,3,1.62,1.88,4.12,1,1.25,2.75,3.12,4,3.25,3.62,1.62,3.38,1,3.62
11,,Water Resource Specialists,3.25,4,3.75,3.25,4,1,1,1,3,3.88,3.12,2.12,2.12,2.75,3.25,3.25,3,2.12,2.88,2.88,3.12,1.88,3,4,1,3,3,3,4,3.62,3.62,1.88,3.88,2,4
11,,Wind Energy Development Managers,3.38,3.75,3.38,3.62,4,1.12,1.25,1,2.88,3.62,2.75,3.12,3,3.38,3,3.5,3.38,1.88,2,2.12,3.25,1.75,2.38,3.88,1.12,1.75,2.88,3.5,3.88,3,3,1.75,3.38,2,3.88
11,,Wind Energy Operations Managers,3,4,3.25,3.62,3.88,2.12,2.38,1,3.12,3.38,3,2.88,2.88,3.75,3,3.88,3.12,2.5,2.25,3.25,3.62,1.88,3,3.88,2,2,2.88,3.75,3.88,3,3,2,3.25,2.75,3.75
13,Business and Financial Operations Occupations,Accountants and Auditors,3.31,3.94,3.44,3.06,3.88,1,1,1,2.88,3.5,2.94,2.56,2,2.94,3.69,3.31,3,1,2.56,1.94,3.12,1.63,1.75,3.94,1,1.88,3,3.06,3.81,3.19,2.94,1.75,3.25,1.12,3.75
13,,"Agents and Business Managers of Artists, Performers, and Athletes",3.5,4,3.38,3.75,3.75,1,1,1,2.88,3.12,2.62,1.88,1.5,2.88,2.12,2.88,4,1.25,1.75,1.25,4,1.5,1,4,1,1.62,3,3.88,4,2.5,2.5,1.38,3.75,1,3.62
13,,Appraisers and Assessors of Real Estate,3.37,3.94,3,2.75,3.88,1,1.06,1,2.31,3.5,2.06,2,2,2.25,3.19,2.81,2.69,2,1.75,1.94,2.81,1.5,1.94,3.94,1,1.69,2.88,3.19,3.75,2.69,2.37,1.38,3.12,1.69,3.44
13,,Budget Analysts,3.25,4,3.62,3,3.75,1,1,1,2.88,3.5,2.88,3.12,2.25,2.75,3.75,3.12,2.5,1,2.62,1.88,2.5,1.88,1.25,3.88,1,1.25,2.88,3,3.75,3.12,2.88,1.75,3,1,3.25
13,,Business Continuity Planners,3.75,3.75,4,3.62,3.88,1,1.25,1,3.12,4,3.12,2.75,2.75,3,2.75,3.5,3.12,1.12,2.75,2,3.12,2,2.38,3.88,1,1.12,3.38,3.38,4,3.88,3.62,1.88,3.38,1.5,3.88
13,,"Buyers and Purchasing Agents, Farm Products",3.12,3.75,3.25,3.12,3.88,1,1,1,2.5,3.38,2.5,2.75,2.88,3,3,3.12,3.38,1.88,1.88,2.25,3.38,1.5,2.25,3.38,1.12,1.62,3,3.12,3.88,3,2.62,1.75,3.12,1.62,3.12
13,,"Claims Adjusters, Examiners, and Investigators",3.25,4,3.5,3.25,4,1,1.12,1,2.5,3.75,2.5,2.12,1.75,2.75,2.88,3.38,3.12,1.12,1.5,1.88,2.88,2.12,2.62,4.12,1,1.38,3.12,3.38,3.88,3,2.88,1.75,3,1.62,3.62
13,,"Compensation, Benefits, and Job Analysis Specialists",3.38,3.75,3.38,3,3.88,1,1,1,3.12,3.38,3,2,2,2.88,2.88,3.25,3,1,2.75,1.88,3.12,1.75,1.38,3.88,1,2.38,3,3.12,3.75,3.12,3,1.75,3,1,3.38
13,,Compliance Officers,3.25,4,3.12,3,3.62,1,1,1,2.88,3.62,2.62,2,2,2.62,2.38,3.12,3,2,1.88,2.75,3,1.75,2.75,3.88,1,1,3.12,3.62,3.88,2.75,2.75,1.38,3.12,1.75,3.5
13,,Coroners,3.38,3.88,3.25,3.5,4,1,1.5,1,3,3.62,3,1.62,1.88,2.88,2.62,3.25,2.62,2.12,1.5,2.12,2.62,1.5,2,4,1,3.12,3.12,3.62,4,2.75,2.38,1.5,3,1.75,3.88
13,,Cost Estimators,3.25,3.75,3.25,3.12,3.88,1,1,1,2.75,3.75,2.88,3.25,2.88,2.62,4,3,3.12,1.12,2.5,1.75,3,1.88,1.5,3.88,1,1.5,2.5,3.12,3.75,3.25,3.12,1.75,3,1,3.5
13,,Credit Analysts,3.62,3.5,3,2.62,3.88,1,1,1,2.12,3.12,2.38,2,1.75,2,3.38,3,2.38,1.25,2.5,1.75,2.38,1.62,1.62,3.62,1,1.38,3,3,3.62,2.75,2.75,1,3,1,3.12
13,,Credit Counselors,3.62,3.88,3.5,3.12,3.75,1,1,1,2.88,3.5,3.12,1.62,1.12,2.12,3.12,3,3.25,1,1.88,1,3.38,1.5,1.25,3.88,1,1,3.62,3.12,4,2.88,3,1.75,3.12,1,3.75
13,,Customs Brokers,3.25,4,3.75,3,3.75,1,1,1,3,3.25,3.12,2.25,2.5,3,3,3.25,3,1,1.62,1.88,2.88,1.88,1.25,3.88,1,1,3.25,3,3.75,3,2.88,1.75,3.25,1,3.75
13,,Environmental Compliance Inspectors,3.75,3.88,3.75,3,4,1.12,1,1,3,3.38,3,1.62,1.62,2.62,3,3.75,2.88,2.62,2.5,3.38,2.75,1.62,3.25,4,1,3,2.88,3.25,3.88,3.25,3.38,1.75,3,2,3.88
13,,Equal Opportunity Representatives and Officers,3.75,4.25,3.75,3.12,4,1,1.12,1,2.88,3.62,3,1.38,1.38,2.25,2.5,3.38,3,1.12,2,1.75,3.25,1.88,1.75,4.12,1,1.62,3.12,4,4,3.25,3.25,1.75,3,1,3.88
13,,Farm Labor Contractors,2.38,3.38,2.75,3,3,1,1.12,1,2.62,3,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,1.25,2.38,2.62,1.38,1.75,2.75,1,1.25,2.62,3,3.5,2.12,1.88,1,3.12,1.75,2.75
13,,Financial Examiners,3.62,4,3.88,3.62,4.12,1,1,1,3.38,3.88,3.38,1.75,1.62,3.5,3.62,3.88,2.88,1.25,2.88,1.75,2.88,1.62,2,4.12,1,1.25,3,3.62,4,3.62,3.62,1.38,3.5,1,4
13,,Financial Quantitative Analysts,3.5,3.75,3.88,3.12,4.12,1,1.12,1,3.12,3.62,3,2.75,1.88,2.62,4.25,3,2.62,1.25,1.88,1.75,3.25,2.75,1.88,4,1,1.88,2.5,3,3.75,3.25,3.25,1.75,3,1.12,3.38
13,,"Fraud Examiners, Investigators and Analysts",3.88,4,3.75,3.62,4,1,1,1,3,3.75,3,2,2,3.12,2.88,3.38,3.25,2,1.25,2,3.25,1.75,1.25,4,1,1.25,3,3.38,4,2.88,2.88,1.25,3.25,1,4.12
13,,Fundraisers,3.25,4,3.25,3.75,3.88,1,1.12,1,3,3.38,2.88,3,2.12,2.75,3,3.12,3.88,1.62,2,1.62,4,1.5,1.5,4,1,1.38,3.5,3.62,4.12,3.12,3.12,1.75,3,1,4
13,,Government Property Inspectors and Investigators,3.5,4.12,3.5,3.38,4,1,1,1,3.12,4,3,2,2.12,2.75,2.88,3.38,3,2.38,1.75,3,3,1.75,3.12,4,1,1.88,3.12,3.38,4,3.25,3.38,1.62,3.12,1.75,4
13,,Human Resources Specialists,3.25,4,3.12,3,3.88,1,1,1,3.12,3.25,3,1.88,1.88,2.88,2,3,3,1.12,1.25,1.5,2.88,1.62,1.75,4,1,1.12,3.38,3.38,4.12,2.88,2.38,1.75,3,1,3.88
13,,"Insurance Appraisers, Auto Damage",2.88,3.5,2.88,2.88,3.38,1.5,1.5,1,2.25,3.12,2.12,2,1.5,2.38,2.62,2.5,2.88,2,1.88,2.38,2.88,1.25,2.38,3.5,1.62,1.12,3,3,3.75,2.38,2.38,1.38,3.25,2.12,3.75
13,,Insurance Underwriters,3.12,3.75,3.12,3,3.75,1,1,1,2.75,3.5,2.75,2,2,2.38,2.88,3,2.75,1,1.88,1.88,2.88,1.5,1.12,3.75,1,1.38,3,3,3.62,2.75,2.75,1.62,2.88,1,3.75
13,,Labor Relations Specialists,3.5,4.5,3.75,3.38,3.88,1,1,1,3,3.75,3.25,2.12,2.12,3,2.62,3.5,4.25,1.62,1.5,1.75,4.12,1.38,1.38,4.25,1,1,3.5,3.88,4.38,3.25,3.12,1.62,3.5,1,4.12
13,,Loan Officers,3.12,4,3.25,2.88,3.75,1,1,1,2.88,3.88,2.75,2.12,2,2.62,3.25,2.88,2.88,1.25,1.75,1.88,2.88,1.62,1.5,3.88,1,1,3,3.25,4,2.62,2.25,1.88,3.12,1,3.38
13,,Logisticians,3.5,3.88,3.75,3.88,4,1,1,1,3.12,3.62,3,2.62,2.88,3.25,3,3.88,3.25,1.12,3.12,2,3.25,1.88,2.25,3.88,1,1.75,3.25,3.62,3.88,3.5,3.25,1.75,3.38,1,3.38
13,,Logistics Analysts,3.12,3.88,3.88,3,4,1,1,1,2.88,3.62,2.75,2.5,2.62,3,3,3.75,2.88,1,2.12,2.12,2.88,2,2.25,4,1,1.75,3,3,3.75,3.75,3.75,1.88,3.25,1.5,3.38
13,,Logistics Engineers,3.75,4,4,3.38,3.88,1.38,1.75,1,3,4,3,2.75,2.75,3.12,3.88,3.25,2.88,1.62,3.38,2.5,3.12,2.62,2.75,4.12,1.38,2.5,3,3.12,3.75,4.12,3.88,2.75,3.75,2.38,4
13,,Management Analysts,3.25,4.12,4,3.88,4.12,1,1.12,1,3.25,4,3,2.25,2.25,3,3,3.88,3.12,1.38,3,1.75,3.5,1.88,1.75,4.12,1,1.88,3.25,3.88,4,3.75,3.88,2.12,3.25,1.25,4
13,,Market Research Analysts and Marketing Specialists,3.5,3.88,3.88,3,4,1,1,1,2.75,3.62,3,1.75,1.75,2.75,3.25,3.25,2.62,1,2.88,1.88,3.12,2.12,1.62,4,1,2.25,2.88,3.12,3.88,3.12,3.12,1.62,3,1,4
13,,"Meeting, Convention, and Event Planners",3.38,4,3.62,3.88,3.88,1.62,1.75,1,3,3.62,2.38,3,2.88,3.25,2.5,3.5,3.38,2,2.75,2,3.5,1.38,2.25,4,1.75,1.25,3.88,3.88,4,3.25,3.12,1.75,3.75,1.75,3.5
13,,Online Merchants,2.88,3.5,3,3,3.5,1,1.25,1.12,2.25,3.25,2.38,2.88,2.75,2.62,3,3.12,3.12,1.25,2,1.88,3.38,2.38,1.62,3.62,1.25,1.25,3.38,3.12,3.5,2.62,2.62,1.75,2.88,1.12,3.38
13,,Personal Financial Advisors,3.38,4,3.75,3.12,3.88,1,1,1,3,3.88,2.88,3,2,2.25,3.38,3.12,3,1,2.5,2,3.62,1.75,1.75,4,1,1.88,3.75,3.62,4,3.25,3.25,1.75,3,1,4
13,,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,3.88,3.88,3,3.75,1,1,1,3.25,3.75,3,3.75,3.12,3.12,2.88,3.75,4,1,2.5,1.5,3.75,1.25,2.25,4,1,1.12,3.12,3.5,3.88,2.62,3,1.5,3.38,1.62,3.75
13,,Regulatory Affairs Specialists,3.25,4,3.75,3.12,3.88,1,1,1,3,3.88,3,2.12,2,2.88,2.5,3.25,3.12,1,2.62,2,3,1.88,2.12,3.88,1,1.88,3,3.38,4,3.75,3.25,1.88,3.38,1,4
13,,Search Marketing Strategists,3.75,3.75,3.88,3.25,3.75,1,1,1,3.12,3.75,2.88,2.12,2,2.62,2.75,3.38,3,1,2.12,2.12,3.25,2.75,1.88,3.88,1,1.25,3,3,3.62,3.38,3.38,2.38,3.12,1.12,3.5
13,,Sustainability Specialists,3.25,3.88,3.62,3.25,3.88,1,1.12,1.12,3,3.62,3.12,2,1.88,2.88,2.88,3.5,3,1.25,2.25,2.12,3.12,1.5,2.12,4,1,2.25,2.88,3.12,4,3.12,3.25,1.75,3,1.75,4
13,,"Tax Examiners and Collectors, and Revenue Agents",3.25,4,3,3,3.88,1,1,1.12,2.88,3.12,2.88,1.88,1.62,2.25,3.25,3.25,3,1.38,1.75,1.75,2.88,1.62,2,4,1,1,2.88,3,4,2.5,2.5,1.5,3,1,3.25
13,,Tax Preparers,3.12,3.88,3,2.75,3.5,1,1,1,2.75,3,2.75,1.62,1.5,2,3.12,3.12,2.62,1,1.62,1.38,2.5,1.62,1.88,4,1,1,3,3,3.25,2.5,2.25,1.5,2.88,1,3
13,,Training and Development Specialists,3.88,4,3.25,3.75,3.88,1,1.12,1,4.38,3.88,4.12,2.25,2.25,3.12,2.38,3.88,3.12,1.12,3.12,2,3.12,1.5,1.88,3.88,1,1.62,3.62,4,4.38,3.12,3.38,1.88,3.62,1,3.88
13,,"Wholesale and Retail Buyers, Except Farm Products",3.38,3.75,3.25,3.12,3.75,1,1,1,3,3.38,2.88,3.25,2.88,2.75,3.12,3.12,4,1.38,2.12,1.75,3.75,1.75,2.25,3.25,1,1.75,3.12,3.25,3.75,2.62,3,1.62,3,1,3
15,Computer and Mathematical Occupations,Actuaries,3.38,4,4,3,4.25,1,1,1,3,4.25,3,2.62,2.12,2.75,4.25,3.12,3,1,3.25,1.88,3,2.5,2,4.12,1,2.12,2.88,2.88,3.88,3.88,4,1.75,3.12,1,3.38
15,,Bioinformatics Technicians,3.5,3.5,3.5,2.88,3.5,1.12,1.12,1,2.88,3.5,2.75,1.62,1.62,2.62,3.38,3.25,2.5,1.12,2.12,2.62,2.75,3.12,2.25,3.75,1.12,3.12,2.5,2.88,3.38,3.25,3,2.12,3,1.12,3.5
15,,Biostatisticians,4,3.88,4,3,4,1,1.5,1,3.12,4,3.38,1.75,1.75,2.75,4.62,3,2,1.12,3,1.62,2.75,3.38,1.75,4,1,4,2.75,2.88,4,3.12,3.12,1.62,3,1,3.88
15,,Business Intelligence Analysts,3.75,3.88,3.5,3,4,1.12,1.25,1,2.88,3.62,3,2,1.75,2.25,3.38,3.12,2.62,1.38,2,1.88,3,2.62,1.75,4,1,1.75,2.88,2.88,3.88,3.38,3.25,1.88,3.25,1.12,3.75
15,,Clinical Data Managers,3.62,3.88,3.5,3.38,4,1,1.88,1,3,3.25,2.88,1.88,1.88,3,3.5,3.62,2.5,1.75,2.75,2.12,2.75,3.25,2.5,3.88,1,2.38,2.75,3.12,3.88,3.25,3.12,1.75,3.38,1.62,3.75
